"","fsl","wash","capacity_gaps","protection","shelter","health","impact","education","calculated_msni"
"622",2,4,3,2,3,1,1,1,4
"623",3,4,3,2,3,1,1,1,4
"624",4,4,3,2,3,1,1,1,4
"625",1,1,4,2,3,1,1,1,4
"626",2,1,4,2,3,1,1,1,4
"627",3,1,4,2,3,1,1,1,4
"628",4,1,4,2,3,1,1,1,4
"629",1,2,4,2,3,1,1,1,4
"630",2,2,4,2,3,1,1,1,4
"631",3,2,4,2,3,1,1,1,4
"632",4,2,4,2,3,1,1,1,4
"633",1,3,4,2,3,1,1,1,4
"634",2,3,4,2,3,1,1,1,4
"635",3,3,4,2,3,1,1,1,4
"636",4,3,4,2,3,1,1,1,4
"637",1,4,4,2,3,1,1,1,4
"638",2,4,4,2,3,1,1,1,4
"639",3,4,4,2,3,1,1,1,4
"640",4,4,4,2,3,1,1,1,4
"641",1,1,1,3,3,1,1,1,3
"642",2,1,1,3,3,1,1,1,3
"643",3,1,1,3,3,1,1,1,3
"644",4,1,1,3,3,1,1,1,4
"645",1,2,1,3,3,1,1,1,3
"646",2,2,1,3,3,1,1,1,3
"647",3,2,1,3,3,1,1,1,3
"648",4,2,1,3,3,1,1,1,4
"649",1,3,1,3,3,1,1,1,3
"650",2,3,1,3,3,1,1,1,3
"651",3,3,1,3,3,1,1,1,3
